GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC48,HC01_VC92,HC03_VC92,HC01_VC93,HC03_VC93
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Estimate; RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
8600000US00601,601,ZCTA5 00601,17599,17599,17599,17599,17533,99.6
8600000US00602,602,ZCTA5 00602,39209,39209,39209,39209,36736,93.7
8600000US00603,603,ZCTA5 00603,50135,50135,50135,50135,48865,97.5
8600000US00606,606,ZCTA5 00606,6304,6304,6304,6304,6292,99.8
8600000US00610,610,ZCTA5 00610,27590,27590,27590,27590,26850,97.3
8600000US00612,612,ZCTA5 00612,62566,62566,62566,62566,62292,99.6
8600000US00616,616,ZCTA5 00616,10687,10687,10687,10687,10642,99.6
8600000US00617,617,ZCTA5 00617,24508,24508,24508,24508,24454,99.8
8600000US00622,622,ZCTA5 00622,7405,7405,7405,7405,7343,99.2
8600000US00623,623,ZCTA5 00623,42321,42321,42321,42321,42261,99.9
8600000US00624,624,ZCTA5 00624,23238,23238,23238,23238,23180,99.8
8600000US00627,627,ZCTA5 00627,32936,32936,32936,32936,32661,99.2
8600000US00631,631,ZCTA5 00631,1555,1555,1555,1555,1547,99.5
8600000US00637,637,ZCTA5 00637,23610,23610,23610,23610,23558,99.8
8600000US00638,638,ZCTA5 00638,17202,17202,17202,17202,17112,99.5
8600000US00641,641,ZCTA5 00641,28332,28332,28332,28332,28190,99.5
8600000US00646,646,ZCTA5 00646,38008,38008,38008,38008,37495,98.7
8600000US00647,647,ZCTA5 00647,5610,5610,5610,5610,5610,100
8600000US00650,650,ZCTA5 00650,14664,14664,14664,14664,14521,99
8600000US00652,652,ZCTA5 00652,3681,3681,3681,3681,3681,100
8600000US00653,653,ZCTA5 00653,11717,11717,11717,11717,11629,99.2
8600000US00656,656,ZCTA5 00656,19546,19546,19546,19546,19453,99.5
8600000US00659,659,ZCTA5 00659,40978,40978,40978,40978,40907,99.8
8600000US00660,660,ZCTA5 00660,16474,16474,16474,16474,16413,99.6
